customer_id,first_name,last_name,email,city,country,signup_date
C0001,Mary,Thomas,mary.thomas1@example.com,Bratislava,Slovakia,2023-11-17
C0002,William,Moore,william.moore2@example.com,Budapest,Hungary,2024-05-24
C0003,Robert,Johnson,robert.johnson3@example.com,Vienna,Austria,2024-12-13
C0004,Joseph,Thomas,joseph.thomas4@example.com,Bratislava,Slovakia,2024-07-27
C0005,David,Williams,david.williams5@example.com,Prague,Czechia,2023-11-25
C0006,David,Davis,david.davis6@example.com,Kecskemét,Hungary,2024-11-07
C0007,Jessica,Gonzalez,jessica.gonzalez7@example.com,Debrecen,Hungary,2024-08-23
C0008,David,Rodriguez,david.rodriguez8@example.com,Debrecen,Hungary,2023-06-15
C0009,Mary,Lopez,mary.lopez9@example.com,Warsaw,Poland,2023-02-16
C0010,Sarah,Taylor,sarah.taylor10@example.com,Szeged,Hungary,2024-04-06
C0011,Patricia,Thomas,patricia.thomas11@example.com,Bratislava,Slovakia,2023-09-16
C0012,Mary,Martin,mary.martin12@example.com,Debrecen,Hungary,2024-10-13
C0013,Susan,Thomas,susan.thomas13@example.com,Prague,Czechia,2023-05-23
C0014,Linda,Martinez,linda.martinez14@example.com,Debrecen,Hungary,2023-02-01
C0015,David,Brown,david.brown15@example.com,Bratislava,Slovakia,2024-05-13
C0016,Charles,Anderson,charles.anderson16@example.com,Szeged,Hungary,2024-12-07
C0017,William,Miller,william.miller17@example.com,Warsaw,Poland,2023-09-28
C0018,Mary,Martinez,,Prague,Czechia,2023-05-19
C0019,Elizabeth,Williams,elizabeth.williams19@example.com,Bratislava,Slovakia,2023-12-14
C0020,Michael,Jones,michael.jones20@example.com,Vienna,Austria,2024-05-03
C0021,Charles,Rodriguez,charles.rodriguez21@example.com,Kecskemét,Hungary,2024-08-30
C0022,Richard,Anderson,richard.anderson22@example.com,Budapest,Hungary,2023-08-17
C0023,Jessica,Taylor,jessica.taylor23@example.com,Debrecen,Hungary,2024-08-10
C0024,Thomas,Davis,thomas.davis24@example.com,Warsaw,Poland,2023-07-30
C0025,Robert,Wilson,robert.wilson25@example.com,Bratislava,Slovakia,2023-04-13
C0026,Thomas,Brown,thomas.brown26@example.com,Prague,Czechia,2023-01-06
C0027,Jessica,Thomas,jessica.thomas27@example.com,Prague,Czechia,2024-04-30
C0028,Elizabeth,Anderson,elizabeth.anderson28@example.com,Szeged,Hungary,2024-07-23
C0029,Barbara,Martinez,barbara.martinez29@example.com,Vienna,Austria,2024-02-20
C0030,James,Williams,james.williams30@example.com,Kecskemét,Hungary,2023-03-25
C0031,William,Wilson,william.wilson31@example.com,Bratislava,Slovakia,2023-12-10
C0032,Sarah,Lopez,sarah.lopez32@example.com,Budapest,Hungary,2024-07-12
C0033,Barbara,Gonzalez,barbara.gonzalez33@example.com,Vienna,Austria,2024-02-09
C0034,Mary,Lopez,mary.lopez34@example.com,Prague,Czechia,2023-08-10
C0035,Richard,Smith,richard.smith35@example.com,Szeged,Hungary,2023-11-15
C0036,Karen,Jones,karen.jones36@example.com,Szeged,Hungary,2023-10-26
C0037,Karen,Moore,karen.moore37@example.com,Budapest,Hungary,2023-06-20
